entry_id,name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
17252480,Private Studio in a superb location,3726590,Manhattan,Upper East Side,40.76851,-73.95506,Entire home/apt,150,1,6,2019-05-02,0.21,1,7
17255526,Brooklyn Bushwick,112261228,Brooklyn,Bushwick,40.697179999999996,-73.92156999999999,Private room,45,2,72,2019-06-29,2.54,1,51
17255880,Modern Rooftop Loft W/ Private Ensuite & Cityviews,48076117,Brooklyn,Crown Heights,40.6752,-73.93215,Private room,75,1,213,2019-06-30,7.71,2,52
17257339,Contemporary. Spacious Apartment. Close to Ferry.,115259709,Staten Island,St. George,40.64508,-74.08126,Entire home/apt,180,2,59,2019-06-25,2.21,1,135
17257473,LIVING THE NYC EXPERIENCE,7889472,Manhattan,Harlem,40.81922,-73.95671999999999,Entire home/apt,355,5,14,2018-04-30,0.49,1,89
17261922,Townhouse apt. Close to city. 3 bedrooms & 2 bath,116365995,Queens,Woodside,40.74705,-73.90791999999999,Entire home/apt,275,4,31,2019-07-04,1.21,2,283
17263207,Brooklyn home.  Comfort and clean. Liguria room.,2787,Brooklyn,Bensonhurst,40.60877,-73.97381999999999,Private room,49,1,19,2019-06-08,0.7,6,360
17263550,Thelonious Monk room at The Harlem Townhouse,3236595,Manhattan,Harlem,40.80754,-73.95151,Private room,58,2,68,2019-06-26,2.35,4,1
17265284,"Luxury/3 bdrms/2 baths/private parking/1,000 sqft",116396065,Brooklyn,Sheepshead Bay,40.6027,-73.9486,Entire home/apt,179,2,101,2019-07-06,3.53,1,211
17266124,"Shay's Place #1
( 1 Bdrm. Apt )
5 mins From JFK",116404073,Queens,Springfield Gardens,40.66812,-73.76303,Entire home/apt,95,1,240,2019-07-07,9.66,2,253
17267017,Spacious Private 1BR with more sleeping space,95341719,Brooklyn,Crown Heights,40.67013,-73.94397,Entire home/apt,165,2,23,2019-07-04,0.83,3,182
17267665,"Spacious, Private 1BR with more sleeping space",95341719,Brooklyn,Crown Heights,40.66977,-73.94341,Entire home/apt,169,2,31,2019-06-26,1.15,3,175
17269114,RH - Budget Friendly room in the Greenpoint Area!,11612872,Brooklyn,Greenpoint,40.73643,-73.95495,Private room,53,2,78,2019-06-07,2.68,3,14
17269342,Large one-bedroom in of Manhattan mid-town west,114890218,Manhattan,Hell's Kitchen,40.76269,-73.99139,Entire home/apt,185,7,20,2019-03-27,0.71,1,23
17269656,"Magical, Welcoming & Beautiful Huge 1 Bedroom Apt",57655724,Manhattan,Midtown,40.75598,-73.97034000000001,Entire home/apt,260,2,64,2019-06-16,2.36,1,131
17270768,Newly Renovated Greenpoint Abode,8833885,Brooklyn,Greenpoint,40.72385,-73.9458,Entire home/apt,160,2,91,2019-06-27,3.35,2,101
17277132,"BROOKLYN HEIGHTS Private Studio, 1 stop Manhattan!",5130754,Brooklyn,Brooklyn Heights,40.69343,-73.99611,Entire home/apt,100,4,3,2019-06-15,0.2,1,4
17278544,SUNNY AND SPACIOUS FULL FLOOR APT!!,11661027,Brooklyn,Greenpoint,40.72699,-73.9581,Entire home/apt,240,2,16,2019-05-05,0.57,1,302
17280743,Essex House Historic Condo/hotel,29339405,Manhattan,Midtown,40.76579,-73.97700999999999,Entire home/apt,300,5,3,2017-07-18,0.12,1,115
17280847,Beautiful 2BR with Private Rooftop Deck LES,7384312,Manhattan,Lower East Side,40.71306,-73.98715,Entire home/apt,250,1,67,2019-06-23,2.46,1,185
17283064,法拉盛summer家(B)closed to JFK&LGA&Citi Field#parking,62023756,Queens,Fresh Meadows,40.74624,-73.78327,Private room,69,1,62,2019-07-05,4.26,3,65
17284471,Modern Apt on Best Location in Brooklyn !,1409823,Brooklyn,Bedford-Stuyvesant,40.688590000000005,-73.94998000000001,Entire home/apt,75,5,16,2019-05-28,0.58,1,15
17287645,Wonderful Charming Apt- Columbia University Area,40741349,Manhattan,Washington Heights,40.83705,-73.94083,Private room,60,1,3,2018-07-01,0.21,1,341
17294950,A Room with a View at The Funky Loft,1432946,Brooklyn,Bushwick,40.69554,-73.92458,Private room,80,3,179,2019-07-03,6.17,3,191
17295495,Private Room in Hell's Kitchen,6807898,Manhattan,Hell's Kitchen,40.76076,-73.99266,Private room,110,1,7,2019-06-23,0.24,1,45
17297467,Big Beautiful Room in Quiet Area with Private Bath,55198931,Brooklyn,Flatbush,40.64774,-73.96517,Private room,65,2,12,2017-10-03,0.44,1,294
17298590,Your Home Away from Home,2168789,Brooklyn,Greenpoint,40.72938,-73.95675,Entire home/apt,175,2,15,2019-06-21,0.54,1,4
17299278,E. W'burg Private Room near subway,116709076,Brooklyn,Williamsburg,40.70245,-73.9427,Private room,80,15,47,2019-04-09,1.86,1,8
17299611,Private bedroom in the heart of West Village,23919461,Manhattan,West Village,40.73381,-74.00365,Private room,150,3,87,2019-06-20,3.09,2,39
17300167,"Spacious, modern, cozy & bright Williamsburg oasis",32694917,Brooklyn,Williamsburg,40.711859999999994,-73.95402,Entire home/apt,144,2,24,2019-07-06,1.43,1,14
17304849,Spacious Brownstone  1Bd,46493114,Brooklyn,Crown Heights,40.67756,-73.95427,Private room,56,4,34,2019-06-20,1.23,1,18
17305490,Gorgeous Studio & Balcony Garden @ THE MOTHERSHIP,4680813,Queens,Astoria,40.767520000000005,-73.9314,Entire home/apt,150,7,12,2019-05-31,0.42,1,3
17306128,MODERN ROOM IN CHARMING CLINTON HILL+ SWEET VIEW 3,4291007,Brooklyn,Clinton Hill,40.69616,-73.96198000000001,Private room,95,30,4,2018-05-28,0.14,11,311
17306146,MODERN ROOM IN CHARMING CLINTON HILL+ SWEET VIEW 1,4291007,Brooklyn,Clinton Hill,40.695209999999996,-73.96199,Private room,95,30,6,2019-02-28,0.22,11,231
17311213,Backpackers Dream for 1 at The Funky Loft,1432946,Brooklyn,Bushwick,40.69652,-73.92351,Private room,70,3,174,2019-06-25,6.03,3,202
17314298,Spacious and charming apartment in Brooklyn,31857792,Brooklyn,Cobble Hill,40.68766,-73.99125,Entire home/apt,170,4,8,2019-06-03,0.29,1,1
17317366,Manhattan Midtown Vacation Home away from Home,116870039,Manhattan,Kips Bay,40.74511,-73.9778,Entire home/apt,200,3,72,2019-06-21,2.55,1,249
17318207,"Attractive Room, Quiet Area . Easy commute Man.",116881616,Brooklyn,Bath Beach,40.60382,-74.01083,Private room,45,4,17,2019-06-07,0.65,2,17
17318814,Beautiful Sunlit Retreat in Manhattan,116889152,Manhattan,Harlem,40.81961,-73.94583,Entire home/apt,175,2,145,2019-06-23,5.0,2,127
17319360,Private  suite,42814202,Queens,Fresh Meadows,40.74227,-73.78707,Entire home/apt,90,1,26,2019-07-08,0.9,3,358
17321243,Sweet deco room in amazing location,116871769,Brooklyn,Williamsburg,40.71018,-73.94858,Private room,78,1,55,2019-06-30,2.01,1,345
17325829,My little LOFT in Brooklyn :),104235754,Brooklyn,Bedford-Stuyvesant,40.68336,-73.95421,Entire home/apt,100,1,27,2019-07-06,0.98,1,39
17329090,Live Like a Local in West Village!,116992515,Manhattan,West Village,40.73023,-74.00294,Entire home/apt,250,3,28,2019-06-17,1.03,1,51
17331192,Williamsburg Bedfd Stop 1000 sqft 1 Bed + 1.5 Bath,10291534,Brooklyn,Williamsburg,40.71372,-73.96325999999999,Entire home/apt,200,1,63,2019-06-27,2.29,1,270
17332200,Renovated Cozy room  for 2 or solo traveler,10475653,Brooklyn,Kensington,40.647690000000004,-73.97435,Private room,40,1,122,2019-06-27,4.21,3,222
17333015,Private room in stylish uptown apartment,2653648,Manhattan,Harlem,40.823159999999994,-73.95343000000001,Private room,75,30,1,2018-04-26,0.07,2,133
17339688,Beautiful large private room in Sunnyside Gardens,117108525,Queens,Sunnyside,40.74603,-73.91412,Private room,50,1,72,2019-06-24,2.98,2,129
17339881,Brownstone Studio,115854410,Brooklyn,Bedford-Stuyvesant,40.68469,-73.947,Entire home/apt,110,3,116,2019-06-21,4.03,1,216
17342599,"Stylish, Spacious room Express train to Midtown",5334697,Manhattan,Washington Heights,40.84114,-73.93639,Private room,69,5,33,2019-07-02,1.17,3,1
17344027,Relaxing Stylish Room near Train and Attractions,42024722,Manhattan,Chelsea,40.74462,-74.00139,Private room,103,5,77,2019-07-07,2.73,2,79
17345621,Huge beautiful apartment - entire floor!,12501130,Brooklyn,Crown Heights,40.676559999999995,-73.93705,Entire home/apt,100,2,106,2019-06-16,3.72,1,28
17346379,"Bright, comfy, elegant room near Express Train",5334697,Manhattan,Washington Heights,40.840990000000005,-73.93694,Private room,73,5,41,2019-06-21,1.45,3,228
17347938,Large Modern 3-bdrm Duplex Apt near Manhattan,108982711,Queens,Astoria,40.75651,-73.91485,Entire home/apt,180,2,70,2019-07-01,2.64,1,175
17358323,Private Apt Near NYC Airport & Northshore Hospital,65232368,Queens,Douglaston,40.76978,-73.73915,Entire home/apt,99,1,49,2019-06-30,1.7,1,247
17360353,Great spacious room in Stylish apt near Highline,42024722,Manhattan,Chelsea,40.7456,-74.00107,Private room,100,5,66,2019-07-01,2.37,2,99
17364659,Large Cozy 1 bedroom Apt in South Williamsburg,1789596,Brooklyn,Williamsburg,40.707440000000005,-73.95416999999999,Entire home/apt,125,6,10,2019-01-03,0.36,1,239
17366414,3 Bed/ 1.5 Bath Midtown Apt near Empire State,117347203,Manhattan,Kips Bay,40.7443,-73.97925,Entire home/apt,250,5,69,2019-06-26,2.44,1,163
17366807,"Cozy 1 bedroom, Lower East Side",40438814,Manhattan,East Village,40.72117,-73.98215,Entire home/apt,160,3,31,2019-01-13,1.08,1,136
17367004,Chic Space in Chelsea,572879,Manhattan,Chelsea,40.7435,-74.00119000000001,Private room,289,2,128,2019-06-17,4.52,1,252
17367187,Superhost HUGE Room+Private Bath -Yankee Stadium,11196496,Bronx,Highbridge,40.83173,-73.92824,Private room,75,1,127,2019-06-30,4.45,1,134
17367289,"Cozy 1BD near JFK, Beach, Subway, Buses, & Kitchen",112910861,Queens,Far Rockaway,40.59745,-73.76032,Private room,35,1,61,2019-06-06,2.12,2,124
17368006,Cabins at Chelsea (NYC),117365574,Manhattan,Chelsea,40.74819,-73.9954,Private room,82,1,147,2019-06-23,5.08,5,292
17368958,"Amazin 1BD in Queens, JFK, St John's Hosp, Kitchen",112910861,Queens,Far Rockaway,40.596920000000004,-73.7602,Private room,35,1,42,2019-05-30,1.52,2,124
17369078,Cozy room in Prospect Heights,16066047,Brooklyn,Crown Heights,40.679190000000006,-73.95918,Private room,70,2,12,2019-06-28,0.47,1,120
17370778,Gem In Park Slope,1339545,Brooklyn,Park Slope,40.67005,-73.97981,Entire home/apt,120,3,125,2019-06-25,4.51,2,61
17376200,Nice clean room in Brooklyn,42864513,Brooklyn,Bedford-Stuyvesant,40.68469,-73.9375,Private room,65,5,69,2019-06-13,2.4,1,104
17376723,*Rare Find* Fantastic 2 Bed Apt inTimes Square,15034908,Manhattan,Hell's Kitchen,40.7621,-73.99354,Entire home/apt,178,3,84,2019-06-16,2.92,2,74
17380887,Prime Williamsburg Location! 10 min from Manhattan,32405588,Brooklyn,Williamsburg,40.71059,-73.96002,Private room,99,3,46,2019-06-24,1.62,2,141
17381819,Cozy modern studio in heart of LES,43682230,Manhattan,Lower East Side,40.72056,-73.98539,Entire home/apt,325,2,2,2017-09-22,0.09,1,180
